player_name,City,State,team_abbreviation.x,FG.,FT.,FT.ATTEMPTS,X3.PTs,Points,Rebounds,Assists,Steals,Blocks,Turnovers,age,player_height,player_weight,college,country,draft_year,years_in_nba,draft_round,draft_number
Damian Lillard,Oakland,California,MIL,0.411,0.922,9.3,2.9,25.6,4.5,6.3,1.1,0.1,2.5,32,187.96,88.45044,Weber State,USA,2012,11,1,6
Lauri Markkanen,NA,NA,UTA,0.484,0.84,5,3.3,23.7,8.7,1.1,1.1,0.9,1.3,26,213.36,108.86208,Arizona,Finland,2017,6,1,7
Karl-Anthony Towns,Edison,New Jersey,MIN,0.506,0.908,4.1,2,21.8,8.9,2.9,1,0.8,2.7,27,213.36,112.490816,Kentucky,USA,2015,8,1,1
De'Aaron Fox,New Orleans,Louisiana,SAC,0.48,0.757,7,3.2,29.9,4.3,6,1.6,0.3,1.9,25,190.5,83.91452,Kentucky,USA,2017,6,1,5
Kyrie Irving,NA,NA,DAL,0.478,0.89,3.5,2.9,24.4,4.2,5.5,1.2,0.3,1.6,31,187.96,88.45044,Duke,Australia,2011,12,1,1
Brook Lopez,North Hollywood,California,MIL,0.506,0.825,1.7,1.8,13.3,5.1,1.1,0.9,2.9,0.8,35,215.9,127.912944,Stanford,USA,2008,15,1,10
Domantas Sabonis,Portland,Oregon,SAC,0.62,0.634,6.2,0.5,19.9,12.3,7,0.9,1,3.4,27,215.9,108.86208,Gonzaga,USA,2016,7,1,11
Miles Bridges,Flint,Michigan,CHA,0.507,0.821,5.6,1.8,21.2,8.8,2.8,1.4,0.4,2,25,201,102,Michigan State,USA,2018,5,1,12
Kristaps Porzingis,NA,NA,BOS,0.547,0.801,5.3,1.6,18.9,6.7,1.9,0.7,1.7,1.3,27,220.98,108.86208,None,Latvia,2015,8,1,4
Desmond Bane,Richmond,Indiana,MEM,0.442,0.871,3.9,3.3,23.6,4.4,5,1.3,0.6,2.7,25,195.58,97.52228,TCU,USA,2020,3,1,30
Nicolas Claxton,Greenville,South Carolina,BKN,0.667,0.624,2.3,0,12.3,8.3,1.7,0.7,2.7,0.9,24,210.8,97.5,Georgia,USA,2019,4,2,31
Myles Turner,Bedford,Texas,IND,0.513,0.79,4.2,1.5,16.8,7.6,1.4,0.7,2.2,1.6,27,210.82,113.398,Texas,USA,2015,8,1,11
Kawhi Leonard,Los Angeles,California,LAC,0.452,0.847,4.1,2.2,21.1,5.6,3.4,1.7,0.7,1.6,32,200.66,102.0582,San Diego State,USA,2011,12,1,15
