Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
68,Sunday Jun 19,boxscore,NYM,,MIA,L,2,6,,44-24,1,up 5.5,Alcántara,Bassitt,,3:02,D,41255,1.00,-,
69,Monday Jun 20,boxscore,NYM,,MIA,W,6,0,,45-24,1,up 5.5,Peterson,Rogers,,3:20,D,34947,1.06,+,
70,Tuesday Jun 21,boxscore,NYM,@,HOU,L,2,8,,45-25,1,up 5.5,Urquidy,Williams,,3:02,N,35140,1.00,-,
71,Wednesday Jun 22,boxscore,NYM,@,HOU,L,3,5,,45-26,1,up 4.5,García,Carrasco,Pressly,3:15,D,35415,1.01,--,
72,Friday Jun 24,boxscore,NYM,@,MIA,W,5,3,,46-26,1,up 5.0,Walker,Alcántara,Díaz,3:03,N,11444,1.11,+,
73,Saturday Jun 25,boxscore,NYM,@,MIA,W,5,3,,47-26,1,up 5.0,Bassitt,Yacabonis,Díaz,3:00,D,18722,1.03,++,
74,Sunday Jun 26,boxscore,NYM,@,MIA,L-wo,2,3,,47-27,1,up 5.0,Scott,Ottavino,,2:44,D,19343,.97,-,
75,Tuesday Jun 28,boxscore,NYM,,HOU,L,1,9,,47-28,1,up 4.0,Valdez,Carrasco,,3:17,N,36673,.99,--,
76,Wednesday Jun 29,boxscore,NYM,,HOU,L,0,2,,47-29,1,up 3.0,Verlander,Smith,Pressly,2:43,D,29230,1.12,---,
77,Friday Jul 1,boxscore,NYM,,TEX,W,4,3,,48-29,1,up 3.5,Peterson,Otto,Díaz,2:38,N,35639,1.12,+,
78,Saturday Jul 2,boxscore,NYM,,TEX,L,3,7,,48-30,1,up 2.5,Pérez,Williams,,2:57,D,26494,1.07,-,
79,Sunday Jul 3,boxscore,NYM,,TEX,W,4,1,,49-30,1,up 3.5,Carrasco,Gray,Díaz,2:58,D,25241,1.11,+,
80,Monday Jul 4,boxscore,NYM,@,CIN,W,7,4,,50-30,1,up 3.5,Walker,Greene,Lugo,3:14,N,19533,1.10,++,
81,Tuesday Jul 5,boxscore,NYM,@,CIN,L-wo,0,1,,50-31,1,up 2.5,Strickland,Lugo,,3:01,N,13487,1.04,-,
